,OYear,State,Sales
150,2018,California,144666.7685
151,2018,Colorado,10033.293
152,2018,Connecticut,5307.21
153,2018,Delaware,13754.983
154,2018,District of Columbia,77.75999999999999
155,2018,Florida,26444.7155
156,2018,Georgia,18873.93
157,2018,Idaho,1233.548
158,2018,Illinois,23848.043
159,2018,Indiana,13685.43
160,2018,Iowa,580.21
161,2018,Kansas,733.15
162,2018,Kentucky,15516.84
163,2018,Louisiana,5501.55
164,2018,Maine,0.0
165,2018,Maryland,9451.6
166,2018,Massachusetts,8143.076
167,2018,Michigan,25833.649
168,2018,Minnesota,6728.25
169,2018,Mississippi,2997.2400000000002
170,2018,Missouri,9350.8
171,2018,Montana,4229.28
172,2018,Nebraska,3579.35
173,2018,Nevada,3138.158
174,2018,New Hampshire,1509.43
175,2018,New Jersey,8675.68
176,2018,New Mexico,2818.558
177,2018,New York,93772.167
178,2018,North Carolina,23019.629
179,2018,North Dakota,919.91
180,2018,Ohio,21372.76
181,2018,Oklahoma,6225.91
182,2018,Oregon,2886.593
183,2018,Pennsylvania,42688.306000000004
184,2018,Rhode Island,3324.18
185,2018,South Carolina,1560.75
186,2018,South Dakota,1153.41
187,2018,Tennessee,16113.823
188,2018,Texas,43421.7582
189,2018,Utah,2460.638
190,2018,Vermont,842.21
191,2018,Virginia,7600.2
192,2018,Washington,65539.896
193,2018,West Virginia,1209.824
194,2018,Wisconsin,5567.469999999999
195,2018,Wyoming,0.0
